# ФОРМЫ ВОПРОСА СВОДА И ТО, ЧИТАЕТ ЛИ ИХ КТО-НИБУДЬ (06.09)
#
# СЛОВА ВОПРОСА НЕ ЧИТАЕТ НИКТО — не в одном суде, а в корпусе вообще.
# Порченый вопрос («кратн ли 7 числу 3?») остаётся вопросной половиной
# объявленной пары и покрыт правилом (б) закона покрытия; пара проверяет
# ВЕЛИЧИНЫ вопроса и их порядок, а слова — нет.
#
#     ЗАКОН ПАРЫ ЧИТАЕТ ВЕЛИЧИНЫ, И ПОТОМУ ОН СЛЕП НА ВОПРОС О СВОЙСТВЕ.
#     «чётно ли 32?» и «чётн ли 32?» несут одни и те же величины в одном
#     порядке — пара их не различает, а иного читателя у вопроса нет.
#
# ЧИТАЕТСЯ ли форма — проверено ПОРЧЕЙ первого слова вопроса в три буквы:
# если вердикт СТРОКИ дрогнул (ложь или немота), слова читал кто-то.
# Выборка: 40 строк на мир.
форма	миры	строк	читается	пример
plan: podlać # grządek. krok # — napełnić # wiader, krok # — podlać # grządek. ile wiader po kroku #?	planforms	1	да	plan: podlać 15 grządek. krok 1 — napełnić 5 wiader, krok 2 — podlać 15 grządek. ile wiader po kroku 1?
plan: podlać # grządek. krok # — napełnić # wiadra, krok # — podlać # grządek. ile kroków ma plan?	planforms	1	да	plan: podlać 12 grządek. krok 1 — napełnić 2 wiadra, krok 2 — podlać 12 grządek. ile kroków ma plan?
plan: water # beds. step # — fill # buckets, step # — water # beds. how many buckets after step #?	planforms	1	да	plan: water 12 beds. step 1 — fill 2 buckets, step 2 — water 12 beds. how many buckets after step 1?
plan: water # beds. step # — fill # buckets, step # — water # beds. how many steps are in the plan?	planforms	1	да	plan: water 32 beds. step 1 — fill 8 buckets, step 2 — water 32 beds. how many steps are in the plan?
plan: załadować # skrzynek. krok # — zebrać # skrzynek, krok # — zebrać jeszcze # skrzynek, krok # — załadować wszystkie skrzynki. co zrobić najpierw: zebrać skrzynki czy załadować skrzynki?	planforms	1	да	plan: załadować 21 skrzynek. krok 1 — zebrać 13 skrzynek, krok 2 — zebrać jeszcze 8 skrzynek, krok 3 — załadow
plano: carregar # caixas. passo # — juntar # caixas, passo # — juntar mais # caixas, passo # — carregar todas as caixas. quantas caixas depois do passo #?	planforms	1	да	plano: carregar 21 caixas. passo 1 — juntar 14 caixas, passo 2 — juntar mais 7 caixas, passo 3 — carregar toda
po wtorku przychodzi środa. co przychodzi po wtorku?	nature	1	да	po wtorku przychodzi środa. co przychodzi po wtorku?
pociąg przejechał # km w # godzin. ile kilometrów na godzinę jedzie?	speedforms	1	да	pociąg przejechał 350 km w 7 godzin. ile kilometrów na godzinę jedzie?
pociąg przejechał # km w # godziny. ile kilometrów na godzinę jedzie?	speedforms	1	да	pociąg przejechał 260 km w 4 godziny. ile kilometrów na godzinę jedzie?
początkowo {Носитель} miał # piłek. następnie dostał jeszcze #. ile piłek ma teraz?	svamp	1	да	początkowo Jan miał 20 piłek. następnie dostał jeszcze 8. ile piłek ma teraz?
początkowo {Носитель} miała # książek. następnie dostała jeszcze #. ile książek ma teraz?	svamp	1	да	początkowo Maria miała 15 książek. następnie dostała jeszcze 6. ile książek ma teraz?
podziel # przez #. ile to jest?	opforms	1	да	podziel 36 przez 6. ile to jest?
policz dziewięć razy sześć	task	1	да	policz dziewięć razy sześć
pomóż mi, proszę: ile jest # plus #?	cross	1	да	pomóż mi, proszę: ile jest 60 plus 40?
porque é que as pessoas fazem sem pensar o que fazem todos os dias?	behavior	1	да	porque é que as pessoas fazem sem pensar o que fazem todos os dias?
porque é que está a chover?	worldfacts	1	да	porque é que está a chover?
powiedz słowo „stół” od tyłu. co wyjdzie?	letters	1	да	powiedz słowo „stół” od tyłu. co wyjdzie?
powiedziałeś, że # minus # to #. czy tak jest?	object	1	да	powiedziałeś, że 40 minus 15 to 25. czy tak jest?
proszę mi pomóc: ile jest # podzielone przez #?	cross	1	да	proszę mi pomóc: ile jest 24 podzielone przez 8?
proszę mi pomóc: ile wynosi # podzielone przez #?	cross	1	да	proszę mi pomóc: ile wynosi 20 podzielone przez 5?
pure iron is a metal that rusts in air. is pure iron a metal or a figure?	genus_diff	1	да	pure iron is a metal that rusts in air. is pure iron a metal or a figure?
qu'est-ce qu'un triangle ?	countfacts	1	да	qu'est-ce qu'un triangle ?
qu'est-ce que je te remercie ?	dialogue	1	да	qu'est-ce que je te remercie ?
qu'est-ce que la fleur ?	lang_fr	1	да	qu'est-ce que la fleur ?
qu'est-ce que la maison ?	lang_fr	1	да	qu'est-ce que la maison ?
qu'est-ce que le coût ?	lang_fr	1	да	qu'est-ce que le coût ?
qu'est-ce que le kilo ?	lang_fr	1	да	qu'est-ce que le kilo ?
qu'est-ce que le maïs ?	lang_fr	1	да	qu'est-ce que le maïs ?
qu'est-ce que un frère ?	topics	1	да	qu'est-ce que un frère ?
qu'est-ce qui est plus chaud : la glace ou le feu ?	propcompare	1	да	qu'est-ce qui est plus chaud : la glace ou le feu ?
qu'est-ce qui est plus chaud : le feu ou la glace ?	propcompare	1	да	qu'est-ce qui est plus chaud : le feu ou la glace ?
qu'est-ce qui est plus dur : une pierre ou un coussin ?	propcompare	1	да	qu'est-ce qui est plus dur : une pierre ou un coussin ?
qu'est-ce qui est plus grand : un cheval ou un chat ?	scale	1	да	qu'est-ce qui est plus grand : un cheval ou un chat ?
qu'est-ce qui est plus grand : un chien ou une souris ?	scale	1	да	qu'est-ce qui est plus grand : un chien ou une souris ?
qu'est-ce qui est plus haut : une girafe ou un chat ?	propcompare	1	да	qu'est-ce qui est plus haut : une girafe ou un chat ?
qu'est-ce qui est plus lent : une tortue ou un lièvre ?	propcompare	1	да	qu'est-ce qui est plus lent : une tortue ou un lièvre ?
qu'est-ce qui est plus léger : une pierre ou une plume ?	propcompare	1	да	qu'est-ce qui est plus léger : une pierre ou une plume ?
qu'est-ce qui est plus rapide : un lièvre ou une tortue ?	propcompare	1	да	qu'est-ce qui est plus rapide : un lièvre ou une tortue ?
quais são os três graus de «bom»?	degrees	1	да	quais são os três graus de «bom»?
qual è il contrario di caldo?	opposites	1	да	qual è il contrario di caldo?
qual è il contrario di «facile»?	opposites	1	да	qual è il contrario di «facile»?
qual è il numero se un decimo di esso è #?	search_langs	1	да	qual è il numero se un decimo di esso è 19?
qual è il tuo nome?	dialogue	1	да	qual è il tuo nome?
qual è l'intruso: un pino, una quercia, uno squalo?	worldfacts	1	да	qual è l'intruso: un pino, una quercia, uno squalo?
qual è l'ultima lettera della parola «cane»?	letters	1	да	qual è l'ultima lettera della parola «cane»?
qual è l'ultima lettera della parola «mano»?	letters	1	да	qual è l'ultima lettera della parola «mano»?
qual è l'ultima lettera della parola «sole»?	letters	1	да	qual è l'ultima lettera della parola «sole»?
qual è la media di #, #, #, #, #?	stats_langs	1	да	qual è la media di 20, 22, 24, 26, 28?
qual è la pressione di una forza di # newton su # metri quadrati?	physics_langs	1	да	qual è la pressione di una forza di 48 newton su 8 metri quadrati?
qual è la prima lettera della parola «sole»?	letters	1	да	qual è la prima lettera della parola «sole»?
qual è la velocità di un corpo che percorre # metri in # secondi?	physics_langs	1	да	qual è la velocità di un corpo che percorre 20 metri in 5 secondi?
qual é a média de #, #, #, #, #?	stats_langs	1	да	qual é a média de 20, 22, 24, 26, 28?
qual é a média de #, #, #, #?	stats_langs	1	да	qual é a média de 3, 6, 9, 14?
qual é a média de #, #?	stats_langs	1	да	qual é a média de 5, 11?
qual é a pressão de uma força de # newtons sobre # metros quadrados?	physics_langs	1	да	qual é a pressão de uma força de 48 newtons sobre 8 metros quadrados?
qual é a primeira letra da palavra «casa»?	letters	1	да	qual é a primeira letra da palavra «casa»?
qual é a velocidade de um corpo que percorre # metros em # segundos?	physics_langs	1	да	qual é a velocidade de um corpo que percorre 20 metros em 2 segundos?
qual é a área de um quadrado de lado #?	geometry_langs	1	да	qual é a área de um quadrado de lado 7?
qual é maior: um cavalo ou um gato?	scale	1	да	qual é maior: um cavalo ou um gato?
qual é maior: um elefante ou um gato?	scale	1	да	qual é maior: um elefante ou um gato?
qual é o contrário de «alto»?	opposites	1	да	qual é o contrário de «alto»?
qual é o contrário de «fácil»?	opposites	1	да	qual é o contrário de «fácil»?
qual é o intruso: um cão, uma formiga, uma mesa?	worldfacts	1	да	qual é o intruso: um cão, uma formiga, uma mesa?
qual é o intruso: um gato, uma formiga, um tubarão?	worldfacts	1	да	qual é o intruso: um gato, uma formiga, um tubarão?
qual é o próximo primo depois de #?	search_langs	1	да	qual é o próximo primo depois de 48?
qual é o quadrado de #?	inquiry_pt_nl	1	да	qual é o quadrado de 22?
quale delle due dà #: # + # o # − #?	verifyforms	1	да	quale delle due dà 126: 67 + 59 o 67 − 59?
quali sono i tre gradi di «alto»?	degrees	1	да	quali sono i tre gradi di «alto»?
quali sono i tre gradi di «buono»?	degrees	1	да	quali sono i tre gradi di «buono»?
quando uma pessoa está cansada, comete mais erros. porque é que comete mais erros?	behavior	1	да	quando uma pessoa está cansada, comete mais erros. porque é que comete mais erros?
quantas horas são # dias?	units_langs	1	да	quantas horas são 5 dias?
quantas patas tem um escaravelho?	countfacts	1	да	quantas patas tem um escaravelho?
quantas vezes mais canetas do que {Носитель} tem {Носитель}?	compare_langs	1	да	quantas vezes mais canetas do que Rui tem Beatriz?
quantas vezes mais maçãs do que João tem {Носитель}?	compare_langs	1	да	quantas vezes mais maçãs do que João tem Ana?
quante ore ha un chilogrammo?	dialogue	1	да	quante ore ha un chilogrammo?
quante zampe ha un cavallo?	countfacts	1	да	quante zampe ha un cavallo?
quanti centesimi sono #,# euro?	money_langs	1	да	quanti centesimi sono 18,25 euro?
quanti giorni ci sono in quattro settimane?	timeunits	1	да	quanti giorni ci sono in quattro settimane?
quanti grammi sono # chilogrammi?	units_langs	1	да	quanti grammi sono 9 chilogrammi?
quanti grammi sono mezzo chilogrammo?	unitfrac	1	да	quanti grammi sono mezzo chilogrammo?
quanti libri in più di {Носитель} ha {Носитель}?	compare_langs	1	да	quanti libri in più di Matteo ha Chiara?
quanti mele in più di {Носитель} ha {Носитель}?	compare_langs	1	да	quanti mele in più di Sara ha Luca?
quanti mesi sono # anni?	units_langs	1	да	quanti mesi sono 10 anni?
quanti mesi sono mezzo anno?	unitfrac	1	да	quanti mesi sono mezzo anno?
quanti minuti ci sono in due ore?	timeunits	1	да	quanti minuti ci sono in due ore?
quanti minuti ci sono in tre ore?	timeunits	1	да	quanti minuti ci sono in tre ore?
quanti minuti sono un quarto d'ora?	unitfrac	1	да	quanti minuti sono un quarto d'ora?
quanti minuti sono un'ora e mezza?	unitfrac	1	да	quanti minuti sono un'ora e mezza?
quanti monete in più di {Носитель} ha {Носитель}?	compare_langs	1	да	quanti monete in più di Marco ha Anna?
quanti ore ci sono in # giorni?	timeunits	1	да	quanti ore ci sono in 2 giorni?
quanti secondi ci sono in quattro minuti?	timeunits	1	да	quanti secondi ci sono in quattro minuti?
quanto dá # + # − #?	cross	1	да	quanto dá 7 + 8 − 5?
quanto dá # × #?	cross	1	да	quanto dá 50 × 2?
quanto dá # ÷ #?	arith_langs	1	да	quanto dá 56 ÷ 7?
quanto fa # × #?	arith_langs	1	да	quanto fa 27 × 2?
quanto fa # − #?	cross	1	да	quanto fa 30 − 14?
quanto fa il # % di #?	stats_langs	1	да	quanto fa il 8 % di 75?
quanto fa quattro più quattro?	lang_it	1	да	quanto fa quattro più quattro?
quanto fa sei più tre?	lang_it	1	да	quanto fa sei più tre?
quanto fanno due quinti di #?	share_langs	1	да	quanto fanno due quinti di 65?
quanto fanno due terzi di #?	share_langs	1	да	quanto fanno due terzi di 39?
quanto fanno tre quarti di #?	share_langs	1	да	quanto fanno tre quarti di 52?
quanto são dois quintos de #?	share_langs	1	да	quanto são dois quintos de 55?
quanto è # × #?	arith_langs	1	НЕТ	quanto è 38 × 7?
quanto è # − #?	arith_langs	1	НЕТ	quanto è 11 − 10?
quanto é # % de #?	stats_langs	1	да	quanto é 40 % de 25?
quanto é # × #?	arith_langs	1	НЕТ	quanto é 41 × 8?
quanto é dezoito dividido por seis?	cross	1	да	quanto é dezoito dividido por seis?
quanto é o dobro de #?	numberline	1	да	quanto é o dobro de 13?
quanto é um quarto de #?	share_langs	1	да	quanto é um quarto de 44?
quantos canetas a mais do que {Носитель} tem {Носитель}?	compare_langs	1	да	quantos canetas a mais do que Beatriz tem Tiago?
quantos centímetros são # metros?	units_langs	1	да	quantos centímetros são 4 metros?
quantos cêntimos são #,# euros?	money_langs	1	да	quantos cêntimos são 29,90 euros?
quantos dias há em três semanas?	timeunits	1	да	quantos dias há em três semanas?
quantos dias são # semanas?	units_langs	1	да	quantos dias são 8 semanas?
quantos gramas são meio quilograma?	unitfrac	1	да	quantos gramas são meio quilograma?
quantos maçãs a mais do que Inês tem {Носитель}?	compare_langs	1	да	quantos maçãs a mais do que Inês tem Pedro?
quantos minutos há em duas horas?	timeunits	1	да	quantos minutos há em duas horas?
quantos minutos há em quatro horas?	timeunits	1	да	quantos minutos há em quatro horas?
quantos minutos são meia hora?	unitfrac	1	да	quantos minutos são meia hora?
quantos minutos são três quartos de hora?	unitfrac	1	да	quantos minutos são três quartos de hora?
quantos minutos são um quarto de hora?	unitfrac	1	да	quantos minutos são um quarto de hora?
quantos minutos são uma hora e meia?	unitfrac	1	да	quantos minutos são uma hora e meia?
quantos moedas a mais do que {Носитель} tem {Носитель}?	compare_langs	1	да	quantos moedas a mais do que Pedro tem Maria?
quantos segundos há em # minutos?	timeunits	1	да	quantos segundos há em 5 minutos?
quantos segundos há em três minutos?	timeunits	1	да	quantos segundos há em três minutos?
quantos segundos têm quatro minutos?	timeunits	1	да	quantos segundos têm quatro minutos?
que découle-t-il du fait qu'un nombre est divisible par # ?	infer	1	да	que découle-t-il du fait qu'un nombre est divisible par 6 ?
que découle-t-il du fait que # est divisible par # ?	infer	1	да	que découle-t-il du fait que 18 est divisible par 9 ?
que découle-t-il du fait que le reste de # divisé par # n'est aucun des nombres #, # et # ?	disj	1	да	que découle-t-il du fait que le reste de 23 divisé par 4 n'est aucun des nombres 0, 1 et 2 ?
que découle-t-il du fait que le reste de # divisé par # n'est aucun des nombres #, #, # et # ?	disj	1	да	que découle-t-il du fait que le reste de 26 divisé par 5 n'est aucun des nombres 0, 2, 3 et 4 ?
que font vingt divisé par cinq ?	cross	1	да	que font vingt divisé par cinq ?
que número vem antes do #?	numberline	1	да	que número vem antes do 17?
que signifie divisible ?	inquiry_de_fr	1	да	que signifie divisible ?
que é o táxi?	lang_pt	1	да	que é o táxi?
quel est le carré de # ?	inquiry_de_fr	1	да	quel est le carré de 23 ?
quel est le contraire de haut ?	opposites	1	да	quel est le contraire de haut ?
quel est le contraire de vide ?	opposites	1	да	quel est le contraire de vide ?
quel jour vient # jour après mardi ?	calendar_langs	1	да	quel jour vient 1 jour après mardi ?
quel jour vient # jours après jeudi ?	calendar_langs	1	да	quel jour vient 6 jours après jeudi ?
quel jour vient # jours après mercredi ?	calendar_langs	1	да	quel jour vient 5 jours après mercredi ?
quel jour vient après lundi ?	calendar_langs	1	да	quel jour vient après lundi ?
quel nombre se trouve entre # et # ?	numberline	1	да	quel nombre se trouve entre 14 et 16 ?
quel nombre vient avant # ?	numberline	1	да	quel nombre vient avant 20 ?
quelle est l'aire d'un carré de côté # ?	geometry_langs	1	да	quelle est l'aire d'un carré de côté 2 ?
quelle est la moyenne de #, #, #, #, # ?	stats_langs	1	да	quelle est la moyenne de 4, 8, 12, 16, 20 ?
quelle est la première lettre du mot « main » ?	letters	1	да	quelle est la première lettre du mot « main » ?
quels sont les trois degrés de «grand» ?	degrees	1	да	quels sont les trois degrés de «grand» ?
questa strada è lunga — è un fatto o un'opinione?	opinion	1	да	questa strada è lunga — è un fatto o un'opinione?
questa zuppa è buona — è un fatto o un'opinione?	opinion	1	да	questa zuppa è buona — è un fatto o un'opinione?
questo libro è interessante — è un fatto o un'opinione?	opinion	1	да	questo libro è interessante — è un fatto o un'opinione?
quoi de neuf ?	dialogue	1	да	quoi de neuf ?
rano było # stopni. zrobiło się chłodniej o # stopni. ile stopni jest teraz?	signedworld	1	да	rano było 14 stopni. zrobiło się chłodniej o 30 stopni. ile stopni jest teraz?
rano było −# stopni. zrobiło się cieplej o # stopni. ile stopni jest teraz?	signedworld	1	да	rano było −5 stopni. zrobiło się cieplej o 8 stopni. ile stopni jest teraz?
rano było −# stopnie. zrobiło się cieplej o # stopni. ile stopni jest teraz?	signedworld	1	да	rano było −3 stopnie. zrobiło się cieplej o 7 stopni. ile stopni jest teraz?
rapide et lent sont des contraires. qu'est-ce qui en découle ?	opposites	1	да	rapide et lent sont des contraires. qu'est-ce qui en découle ?
rechne # plus #. was kommt heraus?	task	1	да	rechne 17 plus 25. was kommt heraus?
regina wrote # novels. how many novels did regina write?	verbal	1	НЕТ	regina wrote 3 novels. how many novels did regina write?
regla: no borres archivos. borra # mensajes. ¿puede ejecutarse la orden?	mandateforms	1	да	regla: no borres archivos. borra 5 mensajes. ¿puede ejecutarse la orden?
regla: no crees archivos. borra # archivos. ¿puede ejecutarse la orden?	mandateforms	1	да	regla: no crees archivos. borra 5 archivos. ¿puede ejecutarse la orden?
regla: no crees archivos. crea # archivos. ¿puede ejecutarse la orden?	mandateforms	1	да	regla: no crees archivos. crea 3 archivos. ¿puede ejecutarse la orden?
regla: no muevas archivos. borra # mensajes. ¿puede ejecutarse la orden?	mandateforms	1	да	regla: no muevas archivos. borra 3 mensajes. ¿puede ejecutarse la orden?
regola: non cancellare file. sposta # messaggi. si può eseguire l'ordine?	mandateforms	1	да	regola: non cancellare file. sposta 3 messaggi. si può eseguire l'ordine?
regola: non creare file. crea # messaggi. si può eseguire l'ordine?	mandateforms	1	да	regola: non creare file. crea 3 messaggi. si può eseguire l'ordine?
regra: não apagues ficheiros. apaga # mensagens. a ordem pode ser executada?	mandateforms	1	да	regra: não apagues ficheiros. apaga 5 mensagens. a ordem pode ser executada?
regra: não cries ficheiros. move # mensagens. a ordem pode ser executada?	mandateforms	1	да	regra: não cries ficheiros. move 5 mensagens. a ordem pode ser executada?
rook stijgt op — is dat een feit of een mening?	opinion	1	да	rook stijgt op — is dat een feit of een mening?
rook stijgt op. klopt dat?	worldfacts	1	да	rook stijgt op. klopt dat?
rosa bought # ounces. rosa got # ounces more. how many ounces does rosa hold now?	items	1	да	rosa bought 6 ounces. rosa got 4 ounces more. how many ounces does rosa hold now?
rosa counted # bandages. rosa counted # more bandages. #/# of the bandages had left. how many bandages stay?	depletion	1	да	rosa counted 40 bandages. rosa counted 5 more bandages. 1/5 of the bandages had left. how many bandages stay?
rosa counted # cookies. rosa counted # more cookies. #/# of the cookies had gone. how many cookies remain?	depletion	1	да	rosa counted 24 cookies. rosa counted 16 more cookies. 1/5 of the cookies had gone. how many cookies remain?
rosa counted # eggs. rosa counted # more eggs. a fifth of the eggs were sold. how many eggs are left?	depletion	1	да	rosa counted 50 eggs. rosa counted 5 more eggs. a fifth of the eggs were sold. how many eggs are left?
rosa had # eggs. #/# of the eggs were sold. how many eggs went?	depletion	1	да	rosa had 55 eggs. 1/5 of the eggs were sold. how many eggs went?
rosa had # eggs. a fifth of the eggs were sold. how many eggs are left?	depletion	1	да	rosa had 55 eggs. a fifth of the eggs were sold. how many eggs are left?
rosa made # yards. rosa sold # of them. then rosa made # yards. how many more yards did rosa make than sell?	items	1	да	rosa made 6 yards. rosa sold 4 of them. then rosa made 4 yards. how many more yards did rosa make than sell?
rosa packed # inches. rosa used # inch away. how many inches does rosa keep?	items	1	да	rosa packed 3 inches. rosa used 1 inch away. how many inches does rosa keep?
rule: do not delete files. create # records. may the order be carried out?	mandateforms	1	да	rule: do not delete files. create 7 records. may the order be carried out?
rule: do not delete files. delete # records. may the order be carried out?	mandateforms	1	да	rule: do not delete files. delete 2 records. may the order be carried out?
règle : ne supprime pas de fichiers. crée # enregistrements. est-ce que l'ordre peut être exécuté ?	mandateforms	1	да	règle : ne supprime pas de fichiers. crée 3 enregistrements. est-ce que l'ordre peut être exécuté ?
salıdan # gün sonra hangi gün gelir?	calendar_langs	1	да	salıdan 2 gün sonra hangi gün gelir?
se dice: la una y cuarto. ¿cómo se escribe en cifras?	clockwords	1	да	se dice: la una y cuarto. ¿cómo se escribe en cifras?
se dice: la una y media. ¿cómo se escribe en cifras?	clockwords	1	да	se dice: la una y media. ¿cómo se escribe en cifras?
se dice: las tres y media. ¿cómo se escribe en cifras?	clockwords	1	да	se dice: las tres y media. ¿cómo se escribe en cifras?
se n é par, n + # é par?	inquiry_pt_nl	1	да	se n é par, n + 2 é par?
se ogni fiore è una pianta e una rosa è un fiore, una rosa è una pianta?	worldfacts	1	да	se ogni fiore è una pianta e una rosa è un fiore, una rosa è una pianta?
sechs {Носитель} einer {Носитель} sind #. welche {Носитель} ist es?	shares_percent	1	да	sechs Zehntel einer Zahl sind 12. welche Zahl ist es?
seco y mojado son contrarios. ¿qué se sigue de esto?	opposites	1	да	seco y mojado son contrarios. ¿qué se sigue de esto?
sei d'accordo che # diviso # fa #?	cross	1	да	sei d'accordo che 100 diviso 10 fa 10?
si dice: l'una e mezza. come si scrive in cifre?	clockwords	1	да	si dice: l'una e mezza. come si scrive in cifre?
si dice: le due e mezza. come si scrive in cifre?	clockwords	1	да	si dice: le due e mezza. come si scrive in cifre?
si tout liquide est une substance et que le lait est un liquide, le lait est-il une substance ?	worldfacts	1	да	si tout liquide est une substance et que le lait est un liquide, le lait est-il une substance ?
si toutes les fleurs sont des plantes et qu'une rose est une fleur, une rose est-il une plante ?	worldfacts	1	да	si toutes les fleurs sont des plantes et qu'une rose est une fleur, une rose est-il une plante ?
sind # + # + # und # × # dasselbe?	rewrite	1	да	sind 4 + 4 + 4 und 4 × 4 dasselbe?
sind # + # und # × # dasselbe?	rewrite	1	да	sind 7 + 7 und 3 × 7 dasselbe?
six eighths of a number is #. what is the number?	shares_percent	1	да	six eighths of a number is 114. what is the number?
somma # e #. quanto viene?	opforms	1	да	somma 17 e 4. quanto viene?
sono # e # coprimi?	inquiry_es_it	1	да	sono 4 e 9 coprimi?
sottrai #. quanto fa?	opforms	1	да	sottrai 9. quanto fa?
soustrais # de #. combien cela fait-il ?	opforms	1	да	soustrais 4 de 16. combien cela fait-il ?
soustrais # de #. qu'est-ce que ça donne ?	opforms	1	да	soustrais 4 de 16. qu'est-ce que ça donne ?
stimmen {Носитель} zu, dass # minus # # ist?	cross	1	да	stimmen Sie zu, dass 12 minus 4 8 ist?
subtract # from #. what do you get?	opforms	1	да	subtract 8 from 22. what do you get?
subtract # from #. what is the result?	opforms	1	да	subtract 19 from 27. what is the result?
subtrahiere # von #. was kommt heraus?	opforms	1	да	subtrahiere 2 von 9. was kommt heraus?
subtrai # de #. quanto dá?	opforms	1	да	subtrai 4 de 16. quanto dá?
sullo scaffale c'erano # monete. hanno tolto # monete. quante monete ci sono adesso?	action_pages	1	да	sullo scaffale c'erano 66 monete. hanno tolto 48 monete. quante monete ci sono adesso?
sullo scaffale ci sono # voci. nella cartella ci sono # voci. quanti voci ci sono nella scatola?	nomention	1	да	sullo scaffale ci sono 8 voci. nella cartella ci sono 15 voci. quanti voci ci sono nella scatola?
suma # y #. ¿qué da?	opforms	1	да	suma 9 y 12. ¿qué da?
sur l'étagère il y a un stylo, une pomme et un ballon. combien de choses y a-t-il sur l'étagère ?	action_pages	1	да	sur l'étagère il y a un stylo, une pomme et un ballon. combien de choses y a-t-il sur l'étagère ?
sur la clôture il y avait # pièces et # œufs. maintenant il y a # pièces et # œufs sur la clôture. combien d'œufs de plus que de pièces y a-t-il maintenant ?	action_pages	1	да	sur la clôture il y avait 32 pièces et 76 œufs. maintenant il y a 34 pièces et 112 œufs sur la clôture. combie
sven counted # bananas. sven counted # more bananas. #/# of the bananas had left. how many bananas stay?	depletion	1	да	sven counted 28 bananas. sven counted 20 more bananas. 1/2 of the bananas had left. how many bananas stay?
sven counted # cupcakes. sven counted # more cupcakes. a half of the cupcakes were sold. how many cupcakes are left?	depletion	1	да	sven counted 40 cupcakes. sven counted 10 more cupcakes. a half of the cupcakes were sold. how many cupcakes a
sven had # roses. a half of the roses had gone. how many roses remain?	depletion	1	да	sven had 30 roses. a half of the roses had gone. how many roses remain?
sven picked # candies. sven gave # candies away. how many candies does sven keep?	items	1	да	sven picked 4 candies. sven gave 2 candies away. how many candies does sven keep?
słoń jest większy od konia. więc koń nie jest większy od słonia. czy koń może być większy od słonia?	scale	1	да	słoń jest większy od konia. więc koń nie jest większy od słonia. czy koń może być większy od słonia?
số nguyên tố nhỏ nhất lớn hơn # là bao nhiêu?	search_langs	1	да	số nguyên tố nhỏ nhất lớn hơn 78 là bao nhiêu?
ta zupa jest smaczna — to fakt czy opinia?	opinion	1	да	ta zupa jest smaczna — to fakt czy opinia?
tara had # books. #/# of the books had gone. how many books went?	depletion	1	да	tara had 69 books. 1/3 of the books had gone. how many books went?
tara had # candies. #/# of the candies were eaten. how many candies are left?	depletion	1	да	tara had 69 candies. 1/3 of the candies were eaten. how many candies are left?
tara made # balloons. tara sold # of them. then tara made # balloons. how many more balloons did tara make than sell?	items	1	да	tara made 8 balloons. tara sold 2 of them. then tara made 2 balloons. how many more balloons did tara make tha
tara made # shells. tara sold # of them. then tara made # shells. how many more shells did tara make than sell?	items	1	да	tara made 8 shells. tara sold 2 of them. then tara made 2 shells. how many more shells did tara make than sell
tara packed # degrees. tara used # degrees away. how many degrees does tara keep?	items	1	да	tara packed 5 degrees. tara used 3 degrees away. how many degrees does tara keep?
tara packed # flowers. tara used # flowers away. how many flowers does tara keep?	items	1	да	tara packed 5 flowers. tara used 3 flowers away. how many flowers does tara keep?
tara packed # marbles. tara used # marbles away. how many marbles does tara keep?	items	1	да	tara packed 5 marbles. tara used 3 marbles away. how many marbles does tara keep?
tara packed # years. tara used # years away. how many years does tara keep?	items	1	да	tara packed 5 years. tara used 3 years away. how many years does tara keep?
teile # gleichmäßig durch #. wie viel kommt heraus?	opforms	1	да	teile 30 gleichmäßig durch 6. wie viel kommt heraus?
tel # en # op. hoeveel krijg je?	opforms	1	да	tel 9 en 12 op. hoeveel krijg je?
tel terug van # tot #. wat komt eruit?	numberline	1	да	tel terug van 7 tot 5. wat komt eruit?
tell me whether # is divisible by #	inquiry	1	да	tell me whether 163 is divisible by 10
tell me whether # is prime	numbers	1	да	tell me whether 134 is prime
ten kolor jest ładny — czy to fakt, czy opinia?	opinion	1	да	ten kolor jest ładny — czy to fakt, czy opinia?
tengo # manzanas # libros # lápices. ¿cuántas cosas tengo?	readnum	1	да	tengo 2 manzanas 7 libros 9 lápices. ¿cuántas cosas tengo?
tengo # manzanas rojas y # nuevas. ¿cuántas manzanas tengo?	readnum	1	да	tengo 24 manzanas rojas y 5 nuevas. ¿cuántas manzanas tengo?
tengo # manzanas y # nuevas. ¿cuántas manzanas tengo?	proform	1	да	tengo 10 manzanas y 5 nuevas. ¿cuántas manzanas tengo?
tengo hambre. ¿qué debo hacer?	reply	1	да	tengo hambre. ¿qué debo hacer?
tengo miedo. ¿por qué?	reply	1	да	tengo miedo. ¿por qué?
tengo prisa. ¿qué debo hacer?	reply	1	да	tengo prisa. ¿qué debo hacer?
tenho # maçãs # livros # lápis. quantas coisas tenho?	readnum	1	да	tenho 7 maçãs 6 livros 4 lápis. quantas coisas tenho?
tenho livros. há #. quantos livros tenho?	readnum	1	да	tenho livros. há 7. quantos livros tenho?
tenho medo. porque é que?	reply	1	да	tenho medo. porque é que?
tenho pressa. o que devo fazer?	reply	1	да	tenho pressa. o que devo fazer?
the bag weighs # kilogram # grams. # kilograms # grams was added to it. how much does the bag weigh?	mixedunits	1	да	the bag weighs 1 kilogram 900 grams. 5 kilograms 250 grams was added to it. how much does the bag weigh?
